input_name,output_name
China Merchants Securities (HK) Co. Ltd.,China Merchants Securities (HK) Co. Ltd.
China Merchants Securities (HK)Co.Ltd.,China Merchants Securities (HK) Co. Ltd.
China Renaissance Securities (Hong Kong) Limited,China Renaissance Securities (Hong Kong) Limited
China Renaissance Securities (HongKong) Limited,China Renaissance Securities (Hong Kong) Limited
Citigroup Global Markets Inc.,Citigroup Global Markets Inc.
Citigroup Global Capital Markets Inc.,Citigroup Global Markets Inc.
Citigroup Global Markets Inc,Citigroup Global Markets Inc.
Citigroup Global Markets Inc.,Citigroup Global Markets Inc.
Citigroup Global MarketsInc.,Citigroup Global Markets Inc.
CitigroupGlobalMarkets Inc.,Citigroup Global Markets Inc.
Citizens Capital Markets Inc.,Citizens Capital Markets Inc.
Clarkson Capital Markets LLC,Clarkson Capital Markets LLC
Clarksons Platou Securities Inc.,Clarksons Platou Securities Inc.
Code Advisors LLC,Code Advisors LLC
Comerica Securities Inc.,Comerica Securities Inc.
Comerica SecuritiesInc.,Comerica Securities Inc.
Common stock options issued and outstanding,Common stock options issued and outstanding
Compass Point Research & Trading LLC,Compass Point Research & Trading LLC
Compass Point Research & TradingLLC,Compass Point Research & Trading LLC
Connaught (UK) Limited,Connaught (UK) Limited
Contribution in kind of the PCPS,Contribution in kind of the PCPS
Conversion of Series A convertible preferred stock,Conversion of Series A convertible preferred stock
Conversion of Series B convertible preferred stock,Conversion of Series B convertible preferred stock
Conversion of Series C convertible preferred stock,Conversion of Series C convertible preferred stock
Conversion of Series D convertible preferred stock,Conversion of Series D convertible preferred stock
Coperatieve Centrale Raiffeisen-Boerenleenbank B.A.,Coperatieve Centrale Raiffeisen-Boerenleenbank B.A.
Cormark Securities (USA) Limited,Cormark Securities (USA) Limited
Cowen and Company,Cowen and Company
Cowen and Company LLC,Cowen and Company
Cowen and CompanyLLC,Cowen and Company
Cowenand Company LLC,Cowen and Company
CowenandCompany LLC,Cowen and Company
Craig-Hallum Capital Group LLC,Craig-Hallum Capital Group LLC
Credicorp Capital Sociedad Agente de BolsaS.A.(4),Credicorp Capital Sociedad Agente de BolsaS.A.(4)
Credit Agricole Securities (USA) Inc.,Credit Agricole Securities (USA) Inc.
Credit Agricole Securities (USA)Inc.,Credit Agricole Securities (USA) Inc.
Credit Suisse Securities (USA) L.L.C.,Credit Suisse Securities (USA) LLC
Credit Suisse Securities (USA) LLC,Credit Suisse Securities (USA) LLC
Credit Suisse Securities (USA) LLC and Credit Suisse Securities (Canada) LLC,Credit Suisse Securities (USA) LLC
Credit Suisse Securities (USA)LLC,Credit Suisse Securities (USA) LLC
Credit Suisse Securities(USA)LLC,Credit Suisse Securities (USA) LLC
Cuttone & Co. Inc.,Cuttone & Co. Inc.
Cuttone & Co. Inc.,Cuttone & Co. Inc.
D.A. Davidson & Co.,D.A. Davidson & Co.
D.A. Davidson & Co.,D.A. Davidson & Co.
null,null
DAFNA LifeScience Market Neutral L.P.,DAFNA LifeScience L.P.
DAFNA LifeScience Select L.P.,DAFNA LifeScience L.P.
DAFNA Lifescience LP,DAFNA LifeScience L.P.
DAFNA Lifescience Market Neutral LP,DAFNA LifeScience L.P.
DAFNA Lifescience Select LP,DAFNA LifeScience L.P.
DBS Bank Ltd.,DBS Bank Ltd.
DNB Markets Inc.,DNB Markets Inc.
DNB MarketsInc.,DNB MarketsInc.
DVB Capital Markets LLC,DVB Capital Markets LLC
Daiwa Capital Markets AmericaInc.,Daiwa Capital Markets AmericaInc.
Danske Markets Inc.,Danske Markets Inc.
Dawson James Securities Inc.,Dawson James Securities Inc.
Deutsche Bank Securities,Deutsche Bank Securities
Deutsche Bank Securities Inc,Deutsche Bank Securities
Deutsche Bank Securities Inc.,Deutsche Bank Securities
Deutsche Bank Securities Inc.*,Deutsche Bank Securities
Deutsche Bank SecuritiesInc.,Deutsche Bank Securities
DeutscheBankSecurities Inc.,Deutsche Bank Securities
Dominick & Dominick LLC,Dominick & Dominick LLC
Dowling & Partners Securities LLC,Dowling & Partners Securities LLC
Dowling & Partners SecuritiesLLC,Dowling & Partners Securities LLC
Drexel Hamilton LLC,Drexel Hamilton LLC
Drexel Hamilton LLC.,Drexel Hamilton LLC
DrexelHamilton LLC,Drexel Hamilton LLC
EA Markets Securities LLC,EA Markets Securities LLC
Early exercised common stock subject to future vesting,Early exercised common stock subject to future vesting
EarlyBirdCapital Inc.,EarlyBirdCapital Inc.
Equity compensation plans not approved by stockholders Directors Compensation Plan 2008 Equity Incentive Plan,Equity compensation plans not approved by stockholders Directors Compensation Plan 2008 Equity Incentive Plan
Evercore Group L.L.C,Evercore Group LLC
Evercore Group L.L.C.,Evercore Group LLC
Evercore Group LLC,Evercore Group LLC
Evercore GroupL.L.C.,Evercore Group LLC
Exercise Conversion Option Convertible Note 2018,Exercise Conversion Option Convertible Note 2018
FBR Capital Markets & Co,FBR Capital Markets & Co
FBR Capital Markets & Co.,FBR Capital Markets & Co
FBR Capital Markets & Co. (FBR),FBR Capital Markets & Co
FBRCapitalMarkets & Co.,FBR Capital Markets & Co
Fearnley Securities AS,Fearnley Securities AS
Feltl and Company Inc.,Feltl and Company Inc.
Fifth Third Securities Inc.,Fifth Third Securities Inc.
First Analysis Securities Corporation,First Analysis Securities Corporation
First Capital Increase,First Capital Increase
Foros Securities LLC,Foros Securities LLC
Franklin Strategic Series Franklin Biotechnology Discovery Fund,Franklin Strategic Series Franklin Biotechnology Discovery Fund
Franklin Templeton Investment Funds Franklin Biotechnology Discovery Fund,Franklin Templeton Investment Funds Franklin Biotechnology Discovery Fund
Freeman & Co. Securities LLC,Freeman & Co. Securities LLC
Global Hunter Securities,Global Hunter Securities
Global Hunter Securities LLC,Global Hunter Securities
Goldman Sachs& Co.,Goldman Sachs & Co
Goldman Sachs & Co,Goldman Sachs & Co
Goldman Sachs & Co.,Goldman Sachs & Co
Goldman Sachs & Co. LLC,Goldman Sachs & Co
Goldman Sachs & Co..,Goldman Sachs & Co
Goldman Sachs & Co.LLC,Goldman Sachs & Co
Goldman Sachs (Asia) L.L.C.,Goldman Sachs & Co
Goldman Sachs (Asia) L.L.C.*,Goldman Sachs & Co
Goldman Sachs& Co. LLC,Goldman Sachs & Co
GoldmanSachs & Co.,Goldman Sachs & Co
GoldmanSachs & Co.LLC,Goldman Sachs & Co
Great Pacific Securities,Great Pacific Securities
Growth Equity Opportunities Fund IV LLC,Growth Equity Opportunities Fund IV LLC
Guggenheim Securities LLC,Guggenheim Securities LLC
Guggenheim SecuritiesLLC,Guggenheim Securities LLC
H.C. Wainwright & Co. LLC,H.C. Wainwright & Co. LLC
H.C.Wainwright & Co.LLC,H.C. Wainwright & Co. LLC
HSBC Securities (USA) Inc.,HSBC Securities (USA) Inc.
HSBC Securities (USA)Inc.,HSBC Securities (USA) Inc.
Haitong International Securities Company Limited,Haitong International Securities Company Limited
Halliday Financial LLC,Halliday Financial LLC
Height Securities LLC,Height Securities LLC
Houlihan Lokey Capital Inc.,Houlihan Lokey Capital Inc.
